"edad","puntuacion_gastos"
54,32
33,37
56,33
34,84
68,70
21,28
27,24
52,34
25,81
64,14
32,87
25,98
75,12
27,16
34,11
52,61
35,20
26,26
29,71
50,67
49,66
49,72
19,36
21,34
32,70
62,22
34,80
33,81
24,24
43,70
27,31
29,78
57,75
33,11
26,25
68,36
42,53
45,63
67,22
21,33
57,34
34,92
60,71
54,79
68,38
28,77
78,13
35,78
46,73
43,84
73,14
68,24
26,14
29,85
61,20
69,19
68,67
22,29
32,14
55,60
75,16
73,14
68,84
26,34
32,18
27,20
48,54
72,23
31,87
33,80
35,92
20,74
34,80
34,13
26,14
32,94
50,24
66,14
51,82
22,73
51,58
68,13
25,70
75,27
66,76
30,89
75,38
67,53
72,16
28,32
67,64
25,70
68,70
65,54
23,82
72,12
73,28
20,95
30,85
55,26
28,79
78,18
51,57
25,11
26,85
26,13
54,16
19,19
24,19
19,38
27,20
62,14
41,75
52,74
60,82
29,14
22,27
72,33
44,77
26,95
35,76
22,22
56,53
34,93
28,36
21,22
26,90
27,92
20,75
33,20
19,76
69,84
34,76
19,25
79,33
33,71
33,73
34,14
79,28
66,26
24,16
31,90
26,91
50,84
64,56
50,30
23,20
27,38
76,32
62,52
19,76
66,15
18,93
78,30
41,67
64,16
63,79
29,89
69,73
43,68
27,92
69,20
32,15
35,98
24,90
53,34
22,87
18,39
64,73
78,35
69,32
26,26
53,70
21,11
21,11
72,11
45,83
59,32
22,21
62,22
19,24
32,75
61,32
18,77
52,60
77,38
40,66
64,69
52,80
50,56
53,53
70,60
23,16
32,20
23,37
30,99
57,20
67,32
49,53
55,65
