gasto_promedio_dia,frecuencia_anual
77.1,3.4
51.9,3.9
79.6,2.3
36.4,7.1
86.1,3.3
113.9,3.0
39.2,2.6
34.9,5.2
245.1,1.8
100.7,3.8
223.3,1.0
81.9,2.4
223.6,1.1
227.6,2.5
57.6,6.0
107.4,3.9
243.0,1.3
194.7,2.1
105.0,2.3
48.0,4.9
93.4,4.1
112.4,3.2
206.2,1.0
20.6,7.1
36.6,4.3
48.0,7.8
43.1,6.3
198.3,1.0
236.1,2.8
198.3,1.5
31.3,6.9
100.7,1.7
50.1,5.8
205.4,1.6
195.7,1.0
57.5,6.8
89.9,3.6
72.7,3.6
253.2,1.9
243.6,1.8
90.3,1.3
94.1,2.8
95.7,1.9
213.7,1.5
27.9,7.4
212.4,1.0
34.6,5.7
213.3,2.0
99.8,2.0
36.5,5.8
240.6,1.6
192.7,1.3
82.0,2.1
107.5,2.9
42.3,4.9
33.1,5.0
261.7,1.7
53.2,5.2
35.4,4.5
98.9,2.7
