temperatura,dia_semana,turistas_dia,promocion,ventas
19.7,V,301,No,494.54
28.0,V,160,No,475.22
25.1,J,249,Si,510.04
18.0,J,194,No,539.94
21.7,M,279,No,453.79
30.6,V,285,Si,522.28
14.3,S,239,No,602.2
22.3,L,218,No,398.24
29.1,S,189,No,581.89
20.5,D,368,Si,702.9
21.3,D,344,Si,741.09
23.6,D,124,No,471.57
30.0,V,326,No,566.35
21.4,S,209,No,678.95
22.2,L,373,Si,741.81
22.3,L,186,No,348.4
32.8,D,331,No,632.09
32.7,L,355,Si,731.19
28.0,D,293,No,660.21
25.5,M,343,No,471.81
26.9,L,273,No,451.03
30.0,D,371,No,658.29
20.3,D,282,Si,713.39
28.7,V,304,No,565.67
19.0,J,294,No,425.38
21.4,X,291,Si,652.44
27.6,S,274,No,644.66
18.3,V,371,No,553.54
23.4,S,487,No,849.91
20.6,L,410,Si,633.26
23.0,M,331,No,526.09
12.8,X,184,No,448.51
16.9,X,198,No,326.41
21.2,X,381,Si,599.15
27.7,X,197,No,413.79
23.3,J,121,No,335.91
24.0,X,311,No,593.05
26.8,D,356,No,757.67
20.5,M,306,No,480.12
25.1,L,351,Si,660.23
20.8,V,287,No,590.83
17.1,M,300,No,592.16
22.4,S,363,Si,792.08
26.3,D,297,Si,759.77
25.4,D,161,No,589.26
24.0,S,199,No,736.17
33.6,M,319,Si,613.25
25.7,X,344,Si,647.58
27.9,L,317,Si,493.23
33.0,J,365,No,590.03
18.8,M,256,Si,611.83
19.8,J,384,No,535.93
31.0,D,206,No,687.81
20.8,S,172,Si,595.17
24.1,J,245,No,539.15
28.3,D,406,Si,827.44
27.6,D,279,No,653.84
31.0,S,356,No,679.2
30.0,J,190,No,339.61
28.3,S,366,Si,793.3
20.9,M,251,No,409.51
27.2,S,212,Si,673.64
25.3,M,361,Si,604.54
18.7,M,272,Si,502.17
29.7,J,345,No,438.45
27.2,S,369,No,714.43
24.2,M,293,No,498.92
23.1,M,342,No,635.28
19.2,S,261,Si,727.99
24.8,S,274,No,564.35
25.9,D,237,No,678.38
20.7,X,264,No,416.83
28.6,S,316,No,694.5
19.6,M,235,Si,515.77
15.5,S,375,No,696.53
28.2,L,142,No,410.69
22.4,D,346,No,720.06
23.5,L,219,No,365.66
20.6,D,244,No,697.16
17.6,V,228,Si,581.8
29.0,X,332,No,524.85
21.2,J,430,No,614.95
30.6,L,342,Si,585.4
27.2,V,139,No,429.13
22.7,D,344,No,696.19
19.7,X,321,No,489.1
21.1,X,183,No,429.25
19.1,S,335,No,692.32
32.3,D,365,No,756.8
24.7,M,358,Si,596.97
28.6,L,342,No,498.23
18.9,L,261,No,528.04
24.7,X,420,No,612.18
28.7,D,285,No,617.71
22.7,S,241,Si,627.3
28.1,D,207,No,648.3
19.7,S,311,Si,783.17
18.5,D,330,No,554.65
25.5,S,358,No,731.81
22.5,V,384,No,604.27
26.6,M,289,Si,550.55
16.1,M,185,No,348.98
26.8,S,346,No,801.02
34.4,D,381,No,766.33
23.9,J,338,Si,623.7
24.1,X,287,No,645.76
24.7,D,159,Si,718.35
16.6,V,295,No,518.82
25.7,X,204,No,496.91
17.6,S,254,No,611.28
22.3,M,187,No,367.81
29.0,D,268,No,700.25
21.1,D,288,No,554.63
26.0,L,395,Si,627.55
28.1,J,324,No,466.12
25.1,M,288,Si,655.1
18.5,J,347,No,505.19
22.7,L,279,No,509.67
31.8,L,74,No,381.1
15.9,D,235,Si,750.66
22.9,D,332,No,669.4
21.8,S,288,No,718.11
24.5,D,178,No,620.52
27.0,S,409,No,883.63
30.4,M,198,Si,452.7
22.9,V,339,No,550.47
27.2,J,265,Si,572.34
26.0,X,216,No,452.54
25.9,X,302,Si,631.4
21.7,S,390,Si,818.14
20.0,L,316,Si,550.52
19.6,D,293,No,600.56
21.0,X,256,Si,564.0
25.3,J,379,Si,676.49
27.0,X,439,No,554.41
25.3,D,218,Si,631.19
21.8,D,180,Si,578.35
31.2,L,253,No,498.17
30.1,X,284,No,508.57
22.6,M,272,Si,541.83
20.7,L,246,No,442.92
24.5,D,178,No,581.87
29.1,J,321,No,453.21
25.3,M,235,No,435.22
26.2,J,137,No,426.61
23.2,L,175,No,348.36
25.8,X,375,No,455.05
30.2,J,274,No,500.09
23.0,D,315,No,677.23
24.6,S,158,No,494.59
