distancia_km,duracion_h,personas,precio
140.8,4.5,4,225.32
60.8,8.6,4,239.1
49.2,7.1,4,213.92
112.5,5.3,2,238.94
145.3,11.2,8,390.39
87.5,10.3,7,302.28
196.2,4.9,4,282.63
138.5,1.5,2,176.1
98.8,4.4,8,246.91
81.5,5.4,3,225.39
71.9,8.8,5,287.43
147.2,11.9,7,379.08
90.5,4.9,6,214.93
16.6,9.4,2,143.14
82.6,7.5,1,197.6
148.9,8.6,2,268.56
40.6,2.7,5,135.88
39.2,5.4,3,170.19
108.7,3.6,8,244.5
108.7,4.8,1,188.36
128.7,6.6,6,285.95
170.6,8.3,2,298.46
146.3,2.2,3,203.98
124.1,2.4,5,140.66
145.9,4.5,5,248.83
68.0,8.3,5,246.68
75.5,10.3,4,268.07
49.5,7.1,4,201.74
62.3,10.4,2,259.91
128.0,5.2,8,268.44
23.0,4.5,8,229.91
89.6,4.9,5,228.95
89.0,2.9,6,194.57
101.3,10.1,1,258.41
88.0,4.7,6,219.17
65.9,7.1,8,240.91
88.1,7.4,8,279.58
179.2,6.7,7,339.43
189.1,1.0,7,267.87
102.9,11.9,8,372.41
126.7,11.0,7,350.86
27.5,3.3,5,113.18
66.9,4.2,6,183.14
85.9,6.7,1,231.46
173.9,10.9,1,350.54
53.8,11.8,7,317.43
99.2,3.8,1,151.13
197.2,7.2,7,355.83
106.3,9.9,8,308.43
124.5,5.3,2,208.06
28.5,9.0,1,182.9
166.1,2.8,8,267.65
122.6,7.6,7,321.21
111.3,10.5,7,308.17
71.8,11.8,5,287.13
64.3,1.9,4,112.45
86.3,5.7,8,229.79
137.9,3.2,3,210.8
175.7,6.0,6,278.55
104.5,7.0,5,273.68
135.5,2.0,6,213.46
119.3,4.3,1,191.32
126.9,11.2,8,375.97
136.6,7.3,2,250.1
169.3,6.0,3,296.09
21.2,9.3,3,202.57
153.9,9.2,3,323.0
52.5,1.5,8,160.52
42.9,8.8,3,222.14
116.6,10.2,8,351.87
23.7,2.8,4,125.96
177.6,9.6,3,316.59
127.3,4.2,7,263.56
146.1,4.4,2,216.5
8.1,8.3,1,173.59
120.9,2.2,5,156.67
113.6,8.3,2,226.08
36.0,10.8,6,278.07
34.8,8.7,7,285.6
140.6,5.8,7,306.18
